id|lat|lon|iso country|poly country|link
101722903|Bristol|51.45|-2.583333|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101722903/
421179449|Sevilla|37.383333|-5.983333|CO|ES|https://whosonfirst.mapzen.com/spelunker/id/421179449/
421179517|Genova|44.411156|8.932661|CO|IT|https://whosonfirst.mapzen.com/spelunker/id/421179517/
101727239|Villarreal|39.937778|-0.101389|US|ES|https://whosonfirst.mapzen.com/spelunker/id/101727239/
101726841|Bristol|51.45|-2.583333|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101726841/
101726867|Las Palmas|28.127222|-15.431389|US|ES|https://whosonfirst.mapzen.com/spelunker/id/101726867/
101726887|Medina|24.466667|39.6|US|SA|https://whosonfirst.mapzen.com/spelunker/id/101726887/
421180355|Burgos|42.340833|-3.699722|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/421180355/
421180663|Valencia|39.466667|-0.375|CO|ES|https://whosonfirst.mapzen.com/spelunker/id/421180663/
421180737|San Antonio|29.428611|-98.493333|CR|US|https://whosonfirst.mapzen.com/spelunker/id/421180737/
101728315|Jericho|31.856111|35.463056|US|PS|https://whosonfirst.mapzen.com/spelunker/id/101728315/
101728659|Bristol|51.45|-2.583333|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101728659/
101731773|St. Albans|51.755|-0.336|US|GB|https://whosonfirst.mapzen.com/spelunker/id/101731773/
101932303|West Haven|41.273889|-72.967778|AU|US|https://whosonfirst.mapzen.com/spelunker/id/101932303/
101735015|Hanover|52.374444|9.738611|CA|DE|https://whosonfirst.mapzen.com/spelunker/id/101735015/
101932657|Brooklyn|40.692778|-73.990278|AU|US|https://whosonfirst.mapzen.com/spelunker/id/101932657/
101932817|Dallas|32.7825|-96.7975|AU|US|https://whosonfirst.mapzen.com/spelunker/id/101932817/
101735267|Bristol|51.45|-2.583333|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/101735267/
101735353|Saint Andrews|56.338889|-2.798889|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/101735353/
101933565|St Albans|51.755|-0.336|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101933565/
421182317|San Sebastián|43.32|-1.98|PE|ES|https://whosonfirst.mapzen.com/spelunker/id/421182317/
101734851|St. Andrews|56.338889|-2.798889|CA|GB|https://whosonfirst.mapzen.com/spelunker/id/101734851/
101933825|Arundel|50.854722|-0.554722|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101933825/
101739323|Valparaiso|-33.066667|-71.633333|CA|CL|https://whosonfirst.mapzen.com/spelunker/id/101739323/
890416133|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890416133/
890416135|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890416135/
890416137|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890416137/
890416139|Burgos|42.340833333|-3.699722222|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890416139/
890416311|Almeria|36.833333333|-2.45|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890416311/
101739885|Langenburg|49.253333|9.848611|CA|DE|https://whosonfirst.mapzen.com/spelunker/id/101739885/
890417957|Armenia|40.383333|44.95|HN|AM|https://whosonfirst.mapzen.com/spelunker/id/890417957/
890418163|Surinam|4|-56|MU|SR|https://whosonfirst.mapzen.com/spelunker/id/890418163/
101737751|Nantes|47.217222|-1.553889|CA|FR|https://whosonfirst.mapzen.com/spelunker/id/101737751/
101935803|Boston|42.357778|-71.061667|AU|US|https://whosonfirst.mapzen.com/spelunker/id/101935803/
101935937|Edinburgh|55.95|-3.198889|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101935937/
101936173|Jerusalem|31.783333|35.233333|AU|PS|https://whosonfirst.mapzen.com/spelunker/id/101936173/
890420169|Freetown|8.483333333|-13.233055555|AG|SL|https://whosonfirst.mapzen.com/spelunker/id/890420169/
890420223|San Antonio|29.428611111|-98.493333333|HN|US|https://whosonfirst.mapzen.com/spelunker/id/890420223/
890420245|Albania|41|20|CO|AL|https://whosonfirst.mapzen.com/spelunker/id/890420245/
101937031|Como|45.816667|9.083333|AU|IT|https://whosonfirst.mapzen.com/spelunker/id/101937031/
890421365|Valencia|39.466666666|-0.375|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890421365/
890421863|Villareal|39.937777777|-0.101388888|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890421863/
890422465|Madina|24.466666666|39.6|GM|SA|https://whosonfirst.mapzen.com/spelunker/id/890422465/
890422467|Madina|24.466666666|39.6|GM|SA|https://whosonfirst.mapzen.com/spelunker/id/890422467/
101937817|Stirling|56.119444|-3.935833|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101937817/
101937909|Waterford|52.2583|-7.119|AU|IE|https://whosonfirst.mapzen.com/spelunker/id/101937909/
101938043|Brooklyn|40.692778|-73.990278|AU|US|https://whosonfirst.mapzen.com/spelunker/id/101938043/
890424183|Valencia|39.466666666|-0.375|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890424183/
101740733|Perth|-31.952222|115.858889|CA|AU|https://whosonfirst.mapzen.com/spelunker/id/101740733/
101749337|Bruges|51.209444|3.22|FR|BE|https://whosonfirst.mapzen.com/spelunker/id/101749337/
101749757|Lampertheim|49.594167|8.467083|FR|DE|https://whosonfirst.mapzen.com/spelunker/id/101749757/
890427093|Dār as Salām|-6.8|39.283333333|YE|TZ|https://whosonfirst.mapzen.com/spelunker/id/890427093/
421185351|San Antonio|29.428611|-98.493333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/421185351/
890428705|India|21|78|GM|IN|https://whosonfirst.mapzen.com/spelunker/id/890428705/
421185795|Granada|37.178056|-3.600833|CO|ES|https://whosonfirst.mapzen.com/spelunker/id/421185795/
421186019|El Centenario|24.1025|-110.414444|CO|MX|https://whosonfirst.mapzen.com/spelunker/id/421186019/
101940429|St Andrews|56.338889|-2.798889|AU|GB|https://whosonfirst.mapzen.com/spelunker/id/101940429/
890430367|San Antonio|29.428611111|-98.493333333|AR|US|https://whosonfirst.mapzen.com/spelunker/id/890430367/
890430739|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890430739/
890430803|San Antonio|29.428611111|-98.493333333|CO|US|https://whosonfirst.mapzen.com/spelunker/id/890430803/
890431183|Vigo|42.233333333|-8.716666666|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890431183/
421186751|Valencia|39.466667|-0.375|VE|ES|https://whosonfirst.mapzen.com/spelunker/id/421186751/
421186847|San Salvador|13.69|-89.19|PE|SV|https://whosonfirst.mapzen.com/spelunker/id/421186847/
890431539|Tarragona|41.115555555|1.249444444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890431539/
890432173|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890432173/
